Index,feature_corr_label
108,0.5356197304935042
100,0.5308007907336812
107,0.525964268272899
99,0.5193432708773447
123,0.5024016714141072
124,0.49671229204807155
51,0.49298891459546257
27,0.49244187081545904
115,0.4907325883200696
59,0.4883531321141665
19,0.48602097030086744
116,0.4796470994605414
52,0.47698234932396344
60,0.4754038413774623
91,0.47075677504560864
28,0.46688683855689733
43,0.4591012448638587
20,0.45554675090655616
83,0.4543968835614052
92,0.4461366194411591
44,0.44051572894950886
84,0.4217074072249955
35,0.41520118020217056
36,0.4047422633895874
26,0.39260868234173674
106,0.39109997266949725
18,0.38260113793052014
98,0.3801388050309631
58,0.3668780859811489
50,0.3606022200242281
12,0.3578105141884716
90,0.34817630681959666
8,0.3479533877790534
82,0.3446137936112703
122,0.3317469034654467
114,0.3316083391192546
25,0.31758404557551345
10,0.3163023279023023
15,0.31384093430383053
11,0.31039123661750484
17,0.30844637807136044
14,0.30797022609295666
57,0.30521208975395125
49,0.3034410967790585
42,0.2913647818905953
13,0.2912716804582347
89,0.28782952443745713
121,0.28410687025806436
113,0.2823678479069808
81,0.28127708767268933
29,0.27677616127522847
105,0.27246932250232575
30,0.27085580552242683
21,0.2614499660148619
7,0.2613668076222312
110,0.2600895406610078
97,0.25722634437427916
109,0.25604346803931005
24,0.25441324348889965
22,0.2536473904132878
34,0.2502875072260241
16,0.23937388249236094
102,0.2382165243807615
101,0.2277455799898985
0,0.22738267396906164
64,0.22351783099979625
71,0.22170776737754402
4,0.22022328412664643
1,0.21347094670136982
41,0.2126417337087546
104,0.2109275127118357
62,0.20453121995225734
61,0.20264090071391302
73,0.20176796814462078
68,0.20144977380900309
33,0.20118008600055837
6,0.19531148254688707
93,0.19497637172969537
2,0.1923571743990269
53,0.19234474828947054
85,0.191794559898673
54,0.19119413754688028
94,0.19060618875412305
79,0.1889918520429415
86,0.18495265186849594
65,0.18302781441996274
45,0.1800607668187709
3,0.1797510002229447
46,0.17715801884035015
96,0.17715567509379535
70,0.17352337255278072
5,0.1710806265020994
80,0.16710693904896973
66,0.16623139678004445
56,0.1648453821571895
88,0.15676389014240577
48,0.15454464453590538
76,0.14761852231564315
67,0.1452369398795988
72,0.14518519393875395
69,0.1437786257060258
31,0.1414669007543675
118,0.1413831396014415
126,0.13546957414126135
40,0.13387219935646055
125,0.13188596560024043
117,0.1316301830698156
37,0.13125471369105576
9,0.1299352246850396
38,0.12703053893155913
23,0.11915573757866157
78,0.111882660222669
74,0.10391569271564105
112,0.10024069223104506
120,0.09566247844597432
39,0.09341778174279336
32,0.09281508254120638
75,0.08965960688228397
77,0.08119697473468243
111,0.07837243085431299
63,0.07726526946664741
47,0.07432457302786172
55,0.061893599791391765
103,0.06031903524301113
87,0.05987534615974847
95,0.05781891093260305
119,0.03316892812468248
127,0.026078471502881607
